DOI,Name,Institution
10.1038/NATURE14539,K. Harikumar,Tata Consultancy Services (India)
10.1038/NATURE14539,Alexander M. Barrett,The Open University
10.1038/NATURE14539,M. R. Balme,The Open University
10.1038/NATURE14539,Mark Woods,Scisys (United Kingdom)
10.1038/NATURE14539,Spyros Karachalios,Scisys (United Kingdom)
10.1038/NATURE14539,Danilo Petrocelli,Scisys (United Kingdom)
10.1038/NATURE14539,E. Sefton‐Nash,European Space Research and Technology Centre
10.1038/NATURE14539,Luc Joudrier,European Space Research and Technology Centre
10.1038/NATURE14539,Bijun Zhang,Institute of Genetics and Developmental Biology
10.1038/NATURE14539,Farshad Kheiri,Southern Illinois University Carbondale
10.1038/NATURE14539,Nicholas Gardner,Rochester Institute of Technology
10.1038/NATURE14539,Cooper Linsky,Rochester Institute of Technology
10.1038/NATURE14539,Everardo FriasRios,Healthcentric Advisors
10.1038/NATURE14539,Nenad G. Nenadic,Rochester Institute of Technology
10.1038/NATURE14539,Edurnet Jhaquelin Luna Becerril,Polytechnic University of Puerto Rico
10.1038/NATURE14539,Emmanuel Tonatihu Juárez Velázquez,National Technological Institute of Mexico
10.1038/NATURE14539,Adolfo Meléndez Ramírez,Universidad de Ecatepec
10.1038/NATURE14539,Panagiotis I. Sergouniotis,Manchester Royal Eye Hospital
10.1038/NATURE14539,Panagiotis I. Sergouniotis,Manchester University NHS Foundation Trust
10.1038/NATURE14539,Panagiotis I. Sergouniotis,University of Manchester
10.1038/NATURE14539,Panagiotis I. Sergouniotis,Genomics (United Kingdom)
10.1038/NATURE14539,Panagiotis I. Sergouniotis,European Bioinformatics Institute
10.1038/NATURE14539,Abdoulaye A. Diakité,European Bioinformatics Institute
10.1038/NATURE14539,Kumar Gaurav,European Bioinformatics Institute
10.1038/NATURE14539,Ewan Birney,European Bioinformatics Institute
10.1038/NATURE14539,Tomas Fitzgerald,European Bioinformatics Institute
10.1038/NATURE14539,Eliza Nichifor,Transylvania University of Brașov
10.1038/NATURE14539,Ovidiu Mircea Țierean,Transylvania University of Brașov
10.1038/NATURE14539,Daniela Roxana Vuță,Transylvania University of Brașov
10.1038/NATURE14539,Alexandra Zamfirache,Transylvania University of Brașov
10.1038/NATURE14539,Ioana Bianca Chiţu,Transylvania University of Brașov
10.1038/NATURE14539,Tiberiu Foriș,Transylvania University of Brașov
10.1038/NATURE14539,G. Brătucu,Transylvania University of Brașov
10.1038/NATURE14539,Nishanth Kandepedu,Excel Life Sciences (India)
10.1038/NATURE14539,Anil Kumar Manchala,Excel Life Sciences (India)
10.1038/NATURE14539,Norman Azoulay,Excel Life Sciences (India)
10.1038/NATURE14539,Silja Vöeneky,University of Freiburg
10.1016/J.NEUNET.2014.09.003,Dongxu Li,"University of California, Irvine"
10.1016/J.NEUNET.2014.09.003,Lizhi Sun,"University of California, Irvine"
10.1016/J.NEUNET.2014.09.003,Thomas B. Miller,Edwards Air Force Base
10.1016/J.NEUNET.2014.09.003,Thomas B. Miller,United States Air Force Research Laboratory
10.1016/J.NEUNET.2014.09.003,Mian Pan,Hangzhou Dianzi University
10.1016/J.NEUNET.2014.09.003,Jie Jiang,Hangzhou Dianzi University
10.1016/J.NEUNET.2014.09.003,Li Zhu,Hangzhou Dianzi University
10.1016/J.NEUNET.2014.09.003,Jing Cao,Hangzhou Dianzi University
10.1016/J.NEUNET.2014.09.003,Tao Zhou,Hangzhou Dianzi University
10.1016/J.NEUNET.2014.09.003,Darko Andročec,University of Zagreb
10.1016/J.NEUNET.2014.09.003,Shufan Liang,Sichuan University
10.1016/J.NEUNET.2014.09.003,Gang Wang,Sichuan University
10.1016/J.NEUNET.2014.09.003,Jun Shao,Sichuan University
10.1016/J.NEUNET.2014.09.003,Jingwei Li,Sichuan University
10.1016/J.NEUNET.2014.09.003,Hui Deng,Sichuan University
10.1016/J.NEUNET.2014.09.003,Chengdi Wang,Sichuan University
10.1016/J.NEUNET.2014.09.003,Weimin Liu,Sichuan University
10.1016/J.NEUNET.2014.09.003,Conrad Gleber,University of Rochester Medical Center
10.1016/J.NEUNET.2014.09.003,Kathleen Fear,University of Rochester Medical Center
10.1016/J.NEUNET.2014.09.003,Fabio Urbina,Collaborations Pharmaceuticals (United States)
10.1016/J.NEUNET.2014.09.003,Sean Ekins,Collaborations Pharmaceuticals (United States)
10.1038/S41467-019-14108-Y,Antonio Huamán-Osorio,Universidad Nacional Santiago Antúnez de Mayolo
10.1038/S41467-019-14108-Y,Willian Josue Fernandez Celestino,Universidad Nacional Santiago Antúnez de Mayolo
10.1038/S41467-019-14108-Y,Faisal Asadi,Binus University
10.1038/S41467-019-14108-Y,Joko Pebrianto Trinugroho,Binus University
10.1038/S41467-019-14108-Y,Bens Pardamean,Binus University
10.1038/S41467-019-14108-Y,Vandana Singh,Guru Gobind Singh Indraprastha University
10.1038/S41467-019-14108-Y,Mehak Rai Sethi,Guru Gobind Singh Indraprastha University
10.1136/BJOPHTHALMOL-2018-313173,Krishnendu Gupta,Oregon Health & Science University
10.1136/BJOPHTHALMOL-2018-313173,J. Peter Campbell,Oregon Health & Science University
10.1136/BJOPHTHALMOL-2018-313173,Stanford Taylor,Oregon Health & Science University
10.1136/BJOPHTHALMOL-2018-313173,James M. Brown,Athinoula A. Martinos Center for Biomedical Imaging
10.1136/BJOPHTHALMOL-2018-313173,James M. Brown,Massachusetts General Hospital
10.1136/BJOPHTHALMOL-2018-313173,Susan Ostmo,Oregon Health & Science University
10.1136/BJOPHTHALMOL-2018-313173,R.V. Paul Chan,University of Illinois at Chicago
10.1136/BJOPHTHALMOL-2018-313173,Jennifer Dy,Northeastern University
10.1136/BJOPHTHALMOL-2018-313173,Deni̇z Erdoğmuş,Northeastern University
10.1136/BJOPHTHALMOL-2018-313173,Stratis Ioannidis,Northeastern University
10.1136/BJOPHTHALMOL-2018-313173,Jayashree Kalpathy–Cramer,Athinoula A. Martinos Center for Biomedical Imaging
10.1136/BJOPHTHALMOL-2018-313173,Jayashree Kalpathy–Cramer,Massachusetts General Hospital
10.1136/BJOPHTHALMOL-2018-313173,Jayashree Kalpathy–Cramer,Brigham and Women's Hospital
10.1136/BJOPHTHALMOL-2018-313173,Sang J. Kim,Oregon Health & Science University
10.1136/BJOPHTHALMOL-2018-313173,Sang J. Kim,Samsung Medical Center
10.1136/BJOPHTHALMOL-2018-313173,Sang J. Kim,Sungkyunkwan University
10.1136/BJOPHTHALMOL-2018-313173,Michael F. Chiang,Oregon Health & Science University
10.1136/BJOPHTHALMOL-2018-313173,Yaron Ilan,Hadassah Medical Center
10.1136/SVN-2017-000101,Fei Jiang,University of Hong Kong
10.1136/SVN-2017-000101,Yong Jiang,Beijing Tian Tan Hospital
10.1136/SVN-2017-000101,Yong Jiang,Capital Medical University
10.1136/SVN-2017-000101,Hui Zhi,University of Hong Kong
10.1136/SVN-2017-000101,Yi Dong,Huashan Hospital
10.1136/SVN-2017-000101,Yi Dong,Fudan University
10.1136/SVN-2017-000101,Hao Li,National Clinical Research Center for Digestive Diseases
10.1136/SVN-2017-000101,Qiang Dong,Huashan Hospital
10.1136/SVN-2017-000101,Qiang Dong,Fudan University
10.1136/SVN-2017-000101,Haipeng Shen,University of Hong Kong
10.1136/SVN-2017-000101,Yongjun Wang,Beijing Tian Tan Hospital
10.1136/SVN-2017-000101,Sathian Dananjayan,Zhongkai University of Agriculture and Engineering
10.1136/SVN-2017-000101,Gerard Marshall Raj,Sri Venkateshwaraa Medical College Hospital and Research Centre
10.1136/SVN-2017-000101,Enrique C. Leira,"Neurology, Inc"
10.1136/SVN-2017-000101,Enrique C. Leira,Carver Bible College
10.1136/SVN-2017-000101,Enrique C. Leira,University of Iowa
10.1136/SVN-2017-000101,Sean I Savitz,The University of Texas Health Science Center at Houston
10.1136/SVN-2017-000101,Sean I Savitz,The University of Texas Health Science Center at Houston
10.1136/SVN-2017-000101,Mai Dabas,Tel Aviv University
10.1136/SVN-2017-000101,Dafna Schwartz,Tel Aviv University
10.1136/SVN-2017-000101,Dimitri Beeckman,Ghent University
10.1136/SVN-2017-000101,Dimitri Beeckman,Örebro University
10.1136/SVN-2017-000101,Amit Gefen,Tel Aviv University
10.1561/2000000039,Diego M.R. Tudesco,Universidade Federal Fluminense
10.1561/2000000039,Asif Ali Laghari,Sindh Madressatul Islam University
10.1561/2000000039,Abdullah A. Khan,Shaheed Benazir Bhutto University
10.1561/2000000039,Ricardo Tadeu Lopes,Universidade Federal do Rio de Janeiro
10.1561/2000000039,R. Jenice Aroma,Karunya University
10.1561/2000000039,Kumudha Raimond,Karunya University
10.1561/2000000039,Lin Teng,Shenyang Normal University
10.1561/2000000039,Asiya Khan,University of Plymouth
10.1093/NAR/GKP760,Justin Powlowski,Concordia University
10.1093/NAR/GKP760,Justin Powlowski,Genomics (United Kingdom)
10.1093/NAR/GKP760,Adrian Tsang,Concordia University
10.1093/NAR/GKP760,Adrian Tsang,Genomics (United Kingdom)
